participant_id	age_range	sex
sub-02	8	M
sub-03	6-7	F
sub-05	6-7	F
sub-06	9-11	F
sub-07	8	M
sub-08	9-11	F
sub-09	9-11	F
sub-10	8	F
sub-11	8	F
sub-12	8	M
sub-13	9-11	M
sub-14	9-11	F
sub-15	9-11	F
sub-16	9-11	M
sub-17	8	F
sub-18	8	F
sub-19	8	M
sub-20	6-7	F
sub-21	9-11	M
sub-22	9-11	M
sub-23	6-7	M
sub-24	8	F
sub-25	6-7	F
sub-26	9-11	F
sub-27	9-11	F
sub-28	8	F
sub-29	8	F
sub-30	8	F
sub-31	6-7	M

